"pottery.data" <- 
matrix(c(18.800000000000001, 16.899999999999999, 18.199999999999999, 16.899999999999999, 17.800000000000001, 
	18.800000000000001, 16.5, 18., 15.800000000000001, 14.6, 13.699999999999999, 14.6, 14.800000000000001,
	17.100000000000001, 16.800000000000001, 15.800000000000001, 18.600000000000001, 16.899999999999999, 
	18.899999999999999, 18., 17.800000000000001, 14.4, 13.800000000000001, 14.6, 11.5, 13.800000000000001,
	10.9, 10.1, 11.6, 11.1, 13.4, 12.4, 13.1, 11.6, 11.800000000000001, 18.300000000000001, 15.800000000000001,
	18., 18., 20.800000000000001, 17.699999999999999, 18.300000000000001, 16.699999999999999, 
	14.800000000000001, 19.100000000000001, 9.5199999999999996, 7.3300000000000001, 7.6399999999999997, 7.29,
	7.2400000000000002, 7.4500000000000002, 7.0499999999999998, 7.4199999999999999, 7.1500000000000004, 
	6.8700000000000001, 5.8300000000000001, 6.7599999999999998, 7.0700000000000003, 7.79, 7.8600000000000003,
	7.6500000000000004, 7.8499999999999996, 7.8700000000000001, 7.5800000000000001, 7.5, 7.2800000000000002,
	7., 7.0800000000000001, 7.0899999999999999, 6.3700000000000001, 7.0599999999999996, 6.2599999999999998,
	4.2599999999999998, 5.7800000000000002, 5.4900000000000002, 6.9199999999999999, 6.1299999999999999, 
	6.6399999999999997, 5.3899999999999997, 5.4400000000000004, 1.28, 2.3900000000000001, 1.5, 
	1.8799999999999999, 1.51, 1.1200000000000001, 1.1399999999999999, 0.92000000000000004, 2.7400000000000002,
	1.6399999999999999, 2., 1.6499999999999999, 1.8200000000000001, 1.5600000000000001, 1.8300000000000001,
	2.0600000000000001, 1.8100000000000001, 2.0600000000000001, 1.6200000000000001, 1.6699999999999999, 1.5,
	1.6299999999999999, 1.6200000000000001, 1.99, 1.8600000000000001, 1.9399999999999999, 2.3300000000000001,
	1.8300000000000001, 2.0499999999999998, 1.9399999999999999, 1.9199999999999999, 4.2999999999999998, 
	3.4300000000000002, 3.8799999999999999, 5.6399999999999997, 5.3399999999999999, 3.4700000000000002, 
	4.2599999999999998, 5.9100000000000001, 4.5199999999999996, 7.2300000000000004, 5.6900000000000004, 
	5.5099999999999998, 3.77, 3.9399999999999999, 0.67000000000000004, 0.63, 0.67000000000000004, 
	0.68000000000000005, 0.71999999999999997, 0.56000000000000005, 0.67000000000000004, 0.53000000000000003,
	0.67000000000000004, 0.59999999999999998, 0.79000000000000004, 0.83999999999999997, 0.77000000000000002,
	0.76000000000000001, 0.92000000000000004, 0.87, 1.73, 1., 0.70999999999999996, 0.76000000000000001, 
	0.66000000000000003, 1.48, 1.4399999999999999, 0.82999999999999996, 0.83999999999999997, 
	0.81000000000000005, 0.87, 1.3100000000000001, 0.82999999999999996, 0.68999999999999995, 
	0.81000000000000005, 0.14999999999999999, 0.12, 0.13, 0.16, 0.20000000000000001, 0.17000000000000001, 
	0.20000000000000001, 0.17999999999999999, 0.28999999999999998, 0.28000000000000003, 0.22, 0.31, 
	0.28999999999999998, 0.29999999999999999, 0.029999999999999999, 0.01, 0.01, 0.01, 0.070000000000000007,
	0.059999999999999998, 0.059999999999999998, 0.01, 0.029999999999999999, 0.10000000000000001, 
	0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 0.42999999999999999,
	0.25, 0.33000000000000002, 0.28000000000000003, 0.38, 0.33000000000000002, 0.13, 0.20000000000000001, 
	0.23999999999999999, 0.46000000000000002, 0.46000000000000002, 0.82999999999999996, 0.38, 
	0.53000000000000003, 0.13, 0.12, 0.17999999999999999, 0.51000000000000001, 0.17000000000000001, 
	0.20000000000000001, 0.14000000000000001, 0.20000000000000001, 0.22, 0.17999999999999999, 0.16, 
	0.29999999999999999, 0.20000000000000001, 0.54000000000000004, 0.23999999999999999, 0.059999999999999998,
	0.040000000000000001, 0.029999999999999999, 0.040000000000000001, 0.059999999999999998, 
	0.040000000000000001, 0.10000000000000001, 0.059999999999999998, 0.050000000000000003, 0.050000000000000003,
	0.050000000000000003, 0.029999999999999999, 3.2000000000000002, 3.0499999999999998, 3.0699999999999998,
	3.0499999999999998, 3.1200000000000001, 3.2599999999999998, 3.2000000000000002, 3.3700000000000001, 3.25,
	3.0600000000000001, 2.25, 3.02, 3.0299999999999998, 3.1299999999999999, 2.9300000000000002, 
	3.3300000000000001, 3.1699999999999999, 3.0899999999999999, 3.29, 3.1400000000000001, 3.1499999999999999,
	4.25, 4.1399999999999997, 4.3600000000000003, 3.8900000000000001, 4.3099999999999996, 3.3999999999999999,
	3.3199999999999998, 3.7000000000000002, 4.0300000000000002, 4.54, 4.6500000000000004, 4.8899999999999997,
